tr_key,language_code,pluralization_index,text,namespace,built_in
"Currently, you can use %{paypal} to transfer funds from your Piggy Bank to your real bank.",de,1,Zur Zeit können Sie %{paypal} nutzen um Beträge von Ihrer Piggy Bank auf Ihre reale Bank zu transferieren. ,,false
Thu,de,0,,abbreviated weekday,false
Participants,de,1,Teilnehmer,,false
"Communities, Companies, Groups, Cities",de,1,,,false
Data Protection & Privacy Policy,de,1,Datensicherheit & Datenschutz,,false
A central hub for any of your cases,de,0,,,false
Contact,de,0,,,false
British Pound,de,1,Britisches Pfund,,false
Home Page,de,1,Homepage,,false
Invitation,de,0,,,false
Membership,de,1,Mitgliedschaft,,false
"Describe your case in a few paragraphs. Some HTML is allowed and use easy text decoration with * *bold* * or _ _italics_ _,  %{see_more}",de,0,,,false
Thu,de,1,Do,abbreviated weekday,false
Matches,de,1,Übereinstimmung,,false
New Community,de,1,,,false
Price,de,0,,,false
A central hub for any of your cases,de,1,Ein zentraler Ort für all Ihre Fälle,,false
Join Our Beta Program,de,0,,,false
exceeds %{size} image size,de,1,überschreitet Bildgröße von %{size},,false
Contact Information,de,1,Kontakt-Informationen,,false
Invitation sent to %{name},de,0,,,false
member,de,0,,,false
Do you accept other types of payment besides credit cards?,de,0,,,false
Fri,de,0,,abbreviated weekday,false
under consideration,de,1,steht zur Diskussion,,false
"Expert answers, employees reaching out, frustration turning into praise",de,1,,,false
Price,de,1,Preis,,false
experts and representatives from various industries,de,0,,,false
Contacts,de,0,,,false
must be between %{min} and %{max},de,1,muss zwischen %{from} und %{to} Zeichen lang sein,,false
Personal Contact,de,1,Persönlicher Kontakt,,false
Invite,de,0,,,false
members,de,0,,,false
Do you accept other types of payment besides credit cards?,de,1,Akzeptieren Sie auch andere Bezahlmethoden ausser Kreditkarte?,,false
Fri,de,1,Fr,abbreviated weekday,false
completed,de,1,abgeschlossen,,false
Pricing,de,1,,,false
Preview,de,0,,,false
experts and representatives from various industries,de,1,Experten und Vertreter aus verschiedenen Branchen,,false
Contacts,de,1,Kontakte,,false
cannot be higher than %{max},de,1,kann nicht höher sein als %{max} ,,false
Phone,de,1,Telefon,,false
Update your personal information.,de,0,,,false
Invite a Friend,de,0,,,false
Mobile,de,0,,,false
Do you charge transaction fees?,de,0,,,false
Sat,de,0,,abbreviated weekday,false
A small transaction fee may apply to outbound transfers depending on the method you select.,de,1,"Eine minimale Transaktionsgebühr kann, je nach Art, bei ausgehenden Überweisungen anfallen.",,false
not planned,de,1,nicht geplant,,false
I am %{select} and feel,de,1,,,false
Preview,de,1,Vorschau,,false
Skype,de,0,,,false
Continue,de,0,,,false
must be within %{min} and %{max} days from now,de,1,muss zwischen %{min} und %{max} Tagen von jetzt sein,,false
Mobile,de,1,Mobil,,false
Update your personal information.,de,1,Aktualisieren Sie Ihre persönlichen Angaben.,,false
Invite by Email,de,0,,,false
mobile number,de,0,,,false
Do you charge transaction fees?,de,1,Erheben Sie Transaktionsgebühren?,,false
Sat,de,1,Sa,abbreviated weekday,false
"a transaction fee may apply, which decreases the amount transferred",de,1,"eine Transaktionsgebühr kann anfallen, was den zu überweisenden Betrag schmälert",,false
share new,de,1,teile neu,,false
Privacy Policy,de,0,,,false
Skype,de,1,Skype,,false
Copyright %{copysym} 2009 Luleka Solutions LLC. All rights reserved.,de,0,,,false
must be positive,de,1,muss positiv sein,,false
Business Contact,de,1,Geschäftskontakt,,false
Update,de,0,,,false
Invite by Email,de,1,Per E-Mail einladen,,false
None,de,0,,,false
Enhance your profile with the professional expertise and business background you have. Some of the information below is required to become a Partner.,de,0,,,false
January,de,0,,month,false
A valid Tax ID is a %{tax_names}.,de,1,Gültige Steuernummern sind %{tax_names}.,,false
Best for,de,1,,tiers,false
Privacy Policy,de,1,Datenschutz,,false
people like you,de,0,,,false
Luleka is almost ready. Curious to see it in action? Join our beta program and help us to improve this exciting new service.,de,0,,,false
must be at least %{amount},de,1,muss mindestens %{amount} betragen ,,false
Work and Education,de,1,Arbeit und Ausbildung,,false
Update,de,1,Aktualisieren,,false
Invoices,de,0,,,false
No more vouchers left to send,de,0,,,false
Enhance your profile with the professional expertise and business background you have. Some of the information below is required to become a Partner.,de,1,Reichern Sie Ihr Profil mit Ihrem professionellen Fachwissen und Hintergrund an. Manche der untenstehenden Informationen sind Pflichtangaben um Partner zu werden.,,false
January,de,1,Januar,month,false
Account Financials,de,1,Finanzübersicht,,false
reported this problem,de,1,hat diese Problem berichtet,,false
Businesses or Groups just getting started,de,1,,tiers,false
people like you,de,1,Gleichgesinnte treffen,,false
"Ask questions, report problems, share ideas and give praise.",de,1,"Fragen stellen, Probleme berichten, Ideen teilen und loben.",,false
cannot be larger than %{amount},de,1,kann nicht größer sein als %{amount},,false
Kases,de,1,Fälle,,false
Update your preferred language and time zone information here.,de,0,,,false
Invoices,de,1,Rechnungen,,false
not available,de,0,,,false
%{name} accepted your invitation,de,1,%{name} hat Ihre Einladung angenommen,,false
Enter the Credit Card Verification (CVV) number as it appears on your credit card. The figure below may help you to locate the CVV code.,de,0,,,false
February,de,0,,month,false
Account Settings,de,1,Benutzerkonto Einstellungen,,false
common,de,1,allgemein,,false
Businesses that need tomoderate community content ,de,1,,tiers,false
"File your cases about any topic, any location and in any category you want.",de,1,"Stellen Sie Ihren Fall über ein Thema, einen Ort oder eine andere Kategorie ein.",,false
of %{transfer_amount} exceeds your available account balance of %{available_balance},de,1,%{transfer_amount} geht über Ihren verfügbaren Kontostand von %{available_balance} hinaus,,false
close,de,1,Schliessen,,false
Update your preferred language and time zone information here.,de,1,Hier können Sie Ihre bevorzugte Sprache und Zeitzone aktualisieren.,,false
is empty,de,0,,,false
Notify me on updates when I am following a profile or case? ,de,0,,,false
Select language,de,1,Sprache wählen,,false
Enter the Credit Card Verification (CVV) number as it appears on your credit card. The figure below may help you to locate the CVV code.,de,1,Geben Sie Ihre Kreditkarten-Sicherheitscode wie sie auf Ihrer Kreditkarte zu finden ist hier an. Die unten stehende Darstellung hilft Ihnen den Code zu finden.,,false
February,de,1,Februar,month,false
"As Tax ID you may provide either a social security number (SSN), an employer identification number (EIN) or an individual tax identification number (ITIN).",de,1,"Als Steuernummer können Sie je nach Land eine Sozialversicherungsnummer (SSN), eine Employer Identification Number (EIN) oder eine Individuelle Steuer-Identifikationsnummer (ITIN) angeben.",,false
being worked on,de,1,wird bearbeitet,,false
Businesses that need to manage and extend their brand ,de,1,,tiers,false
You can set rewards and get faster more accurate responses.,de,1,Sie können eine Belohnung ansetzen und so schneller eine bessere Lösung erhalten.,,false
Luleka transfer from %{name},de,1,Luleka Transaktion von %{name}  ,,false
Shared Contacts,de,1,Gemeinsame Kontakte,,false
Universities,de,0,,,false
It makes me feel?,de,0,,,false
Notify me on updates when I am following a profile or case? ,de,1,Benachrichtigen Sie mich wenn ich ein Profil oder einen Fall verfolge?,,false
working as %{title},de,1,arbeitet als %{title} ,,false
"Enter your credit card number here, e.g. %{example}",de,0,,,false
March,de,0,,month,false
Blog,de,1,Blog,,false
offers reward,de,1,bietet Belohnung,,false
Employee Identification,de,1,,tiers,false
%d month,de,2,%d Monate,,false
Your email,de,0,,,false
%{net_amount} was transferred from %{name} at Luleka to Paypal account %{account} on %{date}.,de,1,%{net_amount} wurde von %{name} bei Luleka auf das Paypal Konto %{account} am %{date} überwiesen.,,false
Followers,de,1,Verfolger,,false
Universities,de,1,Universitäten,,false
It makes me feel?,de,1,Ich fühle mich dadurch,,false
Change your password or request a new one.,de,1,Ändern Sie Ihr Passwort hier oder fodern Sie ein neues an.,,false
"Enter your credit card number here, e.g. %{example}",de,1,"Geben Sie hier Ihre Kreditkartennummer ein, z.B. %{example}",,false
March,de,1,März,month,false
capture,de,1,erfassen,,false
report new,de,1,neu berichten,,false
Official Agents,de,1,,tiers,false
%{price} (%{unit_price} per %{unit}),de,1,%{price} (%{unit_price} pro %{unit}),,false
Once you are enrolled into the beta program your account email will need to match the one here.,de,0,,,false
The total transfer amount was %{gross_amount} and a transaction fee of %{fee} was charged.,de,1,Der Gesamtbetrag von %{gross_amount} und eine Transaktionsgebühr in Höhe von %{fee} wurden verbucht.,,false
Recent Visitors,de,1,Besucher Ihres Profils,,false
Unanswered Invitations,de,0,,,false
You can select which kinds of notifications you want to receive from us. Notifications are sent to the email account you have provided us with.,de,0,,,false
%{invitee_name} has already been invited,de,0,,,false
Enter your first name as it appears on your credit card.,de,0,,,false
April,de,0,,month,false
Destination Account,de,1,Zielkonto,,false
unlimited,de,1,,tiers,false
month,de,1,Monat,,false
Is Luleka free?,de,0,,,false
Paypal transfer by %{name} using Paypal account %{account},de,1,Paypal Überweisung von %{name} von PayPal Konto %{account},,false
Invite a Friend,de,1,Laden Sie einen Freund ein,,false
Unanswered Invitations,de,1,Unbeantwortete Einladungen,,false
You can select which kinds of notifications you want to receive from us. Notifications are sent to the email account you have provided us with.,de,1,"Sie können aussuchen welche Art von Benachrichtigungen Sie von uns erhalten wollen. Benachrichtigungen werden an die E-Mail Adresse geschickt, die Sie uns angegeben haben.",,false
%{name} would like to become a contact,de,0,,,false
Change your password or request a new one.,de,0,,,false
A valid Partner promotion code activates a free Luleka Partner account.,de,0,,,false
Enter your first name as it appears on your credit card.,de,1,Geben Sie hier Ihren Vornamen an so wie er auch auf Ihrer Kreditkarte steht.,,false
April,de,1,April,month,false
direct deposit,de,1,Direktüberweisung,,false
help desk community for,de,1,help desk community für,,false
Administrative Control,de,1,,tiers,false
partner membership voucher,de,1,Partner-Mitgliedschaftsgutschein,,false
During our beta period only users who enroll in the beta program can register for a user account and use our service.,de,0,,,false
Could not Geocode address,de,1,Adresse konnte nicht gefunden werden,,false
Your friend's email,de,1,Die E-Mail Adresse Ihres Freundes,,false
"We will verify your account now. Please, click on activate account below.",de,0,,,false
Please sign in,de,0,,,false
You can optionally add products and services you work on. These will be added to your list of expertise.,de,0,,,false
%{topics_count} supported,de,0,,,false
Back,de,1,Zurück,,false
A valid Partner promotion code activates a free Luleka Partner account.,de,1,Ein gültiger Partner Gutschein-Code aktiviert ein gratis Luleka Partner Benutzerkonto.,,false
Enter your last name as it appears on your credit card.,de,0,,,false
May,de,0,,month,false
"It is your responsibility to declare taxable revenues in the country you registered. Your tax information is  never published or shared anywhere, except on invoices to your clients.",de,1,"Es liegt in Ihrer Verantwortung Steuereinkünfte aus steuerpflichtiger Umsätzen dem Finanzamt zu melden. Informationen zu steuerpflichtigen Einkünften werden nicht an Dritte übermittelt, mit Ausnahme der Steuernummer auf Rechnungen an Ihre Kunden.",,false
Terms,de,1,AGB,,false
Hosted on Your URL,de,1,,tiers,false
%{type} from %{consignor} for %{description} (%{obfuscated_code}),de,1,%{type} von %{consignor} für %{description} (%{obfuscated_code}),,false
You must be enrolled in our beta program before you can sign up.,de,0,,,false
member,de,1,Mitglied,,false
Last Name,de,1,Nachname,,false
"We will verify your account now. Please, click on activate account below.",de,1,Wir werden jetzt Ihr Benutzerkonto überprüfen. Bitte klicken Sie unten auf Benutzerkonto aktivieren.,,false
Please confirm your Luleka account,de,0,,,false
You can optionally add products and services you work on. These will be added to your list of expertise.,de,1,"Sie können optional Produkte und Dienstleistungen, an denen Sie arbeiten, hinzufügen. Diese werden dann auf der Liste Ihres Fachwissens ergänzt. ",,false
praise,de,1,Lob,,false
Enter your last name as it appears on your credit card.,de,1,Geben Sie Ihren Nachnamen an so wie er auch auf Ihrer Kreditkarte steht.,,false
May,de,1,Mai,month,false
Popular %{topics},de,1,Beliebte %{topics},,false
Management View,de,1,,tiers,false
You must be enrolled in our beta program before you can sign up.,de,1,Sie müssen in unser Beta-Programm eingeschrieben sein bevor Sie sich registrieren können.,,false
members,de,1,Mitglieder,,false
Hello,de,1,Hallo,,false
Add Note,de,1,Anmerkung hinzufügen,,false
"After you have successfully confirmed your account, you will be asked to sign in, then you  continue to edit your profile.",de,0,,,false
Please confirm your Luleka account,de,1,Bitte bestätigen Sie Ihr Luleka Benutzerkonto,,false
You can offer a reward for solving this case. Select from one of the following options.,de,0,,,false
I am %{action} about,de,0,,,false
Welcome to Luleka,de,0,,,false
"Follow ""%{name}""",de,0,,,false
June,de,0,,month,false
Topics,de,1,Themen,,false
Widgets for your Site,de,1,,tiers,false
How can I join the beta program?,de,0,,,false
partner,de,1,Partner,,false
Name,de,1,Name,,false
